    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    1055       19724.8     0.0388   1.566E+01   1.4000   0.3334   2.025E-17   3.38982601E+00   7.41465284E+00
    1060         19800     0.0389   1.540E+01   1.4000   0.3393   1.778E-17   3.38775187E+00   7.40724785E+00
    1065       19876.4     0.0502   1.523E+01   1.4000   0.3738   1.920E-17   3.38562836E+00   7.40059494E+00
    1070       19952.6     0.0397   1.547E+01   1.4000   0.3542   1.632E-17   3.38354359E+00   7.38952173E+00
    1075       20030.1     0.0384   1.581E+01   1.3719   0.4000   1.733E-17   3.38145600E+00   7.36981243E+00
    1080         20100     0.0383   1.664E+01   1.4000   0.3749   1.864E-17   3.37956788E+00   7.34945647E+00
    1085       20182.2     0.0499   1.710E+01   1.3686   0.4000   1.676E-17   3.37734701E+00   7.33316658E+00
    1090       20268.1     0.0383   1.692E+01   1.4000   0.3707   1.665E-17   3.37502112E+00   7.31726863E+00
    1095       20349.3     0.0385   1.467E+01   1.2639   0.4000   1.617E-17   3.37277285E+00   7.29681924E+00
    1100       20413.6     0.0498   1.471E+01   1.3397   0.4000   1.883E-17   3.37095310E+00   7.28589999E+00
    1105       20487.1     0.0387   1.545E+01   1.4000   0.3238   1.619E-17   3.36885977E+00   7.28390321E+00
    1110       20563.9     0.0387   1.535E+01   1.4000   0.3422   1.667E-17   3.36671843E+00   7.28325565E+00
    1115       20642.3     0.0384   1.631E+01   1.4000   0.3458   1.876E-17   3.36461448E+00   7.27903897E+00
    1120       20716.7     0.0498   1.654E+01   1.4000   0.3551   1.600E-17   3.36267623E+00   7.27882331E+00
    1125       20797.3     0.0386   1.564E+01   1.4000   0.3279   1.769E-17   3.36064379E+00   7.28196805E+00
    1130       20875.2     0.0385   1.546E+01   1.4000   0.3671   2.133E-17   3.35878698E+00   7.28199539E+00
    1135       20951.3     0.0385   1.471E+01   1.4000   0.3106   1.811E-17   3.35710169E+00   7.28312329E+00
    1140       21014.4     0.0505   1.438E+01   1.4000   0.3301   1.728E-17   3.35576509E+00   7.28862313E+00
    1145       21085.4     0.0391   1.362E+01   1.4000   0.3208   1.798E-17   3.35425314E+00   7.29857260E+00
    1150       21153.6     0.0390   1.372E+01   1.4000   0.3323   1.804E-17   3.35274081E+00   7.30709764E+00
    1155       21222.6     0.0394   1.405E+01   1.4000   0.3648   2.061E-17   3.35113431E+00   7.30789274E+00
    1160         21294     0.0391   6.021E+00   0.5529   0.1454   2.032E-17   3.34944578E+00   7.29865255E+00
    1165       21360.3     0.0509   1.380E+01   1.1921   0.4000   1.690E-17   3.34791353E+00   7.28766681E+00
    1170       21433.9     0.0392   1.490E+01   1.3199   0.4000   1.942E-17   3.34626918E+00   7.28004584E+00
    1175       21511.9     0.0396   1.630E+01   1.4000   0.3919   1.982E-17   3.34454579E+00   7.27864654E+00
    1180       21592.9     0.0391   7.125E+00   0.6021   0.1795   1.868E-17   3.34267207E+00   7.27609430E+00
    1185       21664.7     0.1341   1.564E+01   1.3309   0.4000   1.917E-17   3.34084303E+00   7.26791805E+00
    1190       21745.8     0.0392   1.658E+01   1.4000   0.3389   1.777E-17   3.33857307E+00   7.25668189E+00
    1195         21827     0.0392   1.594E+01   1.4000   0.3616   1.748E-17   3.33617466E+00   7.24596481E+00
    1200         21900     0.0390   1.627E+01   1.4000   0.3539   1.578E-17   3.33401380E+00   7.23293476E+00
    1205       21980.7     0.0498   1.695E+01   1.4000   0.3986   1.932E-17   3.33169854E+00   7.21071522E+00
    1210       22066.9     0.0384   1.714E+01   1.4000   0.3111   1.829E-17   3.32935042E+00   7.18090254E+00
    1215       22153.5     0.0384   1.792E+01   1.4000   0.3276   1.739E-17   3.32711086E+00   7.14842621E+00
    1220       22236.1     0.0501   1.818E+01   1.4000   0.3289   1.501E-17   3.32505968E+00   7.11980758E+00
    1225       22327.7     0.0383   1.802E+01   1.4000   0.3436   1.610E-17   3.32291201E+00   7.09778077E+00
    1230       22413.4     0.0398   1.787E+01   1.4000   0.3771   1.762E-17   3.32104526E+00   7.08149978E+00
    1235       22494.4     0.0384   5.585E+00   0.4463   0.1436   1.549E-17   3.31936245E+00   7.06352285E+00
    1240       22563.4     0.0502   1.463E+01   1.1681   0.4000   1.615E-17   3.31795963E+00   7.04868074E+00
    1245       22640.1     0.0383   1.793E+01   1.4000   0.3948   1.503E-17   3.31639432E+00   7.03333026E+00
