    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    3340       639.685    14.8145   1.305E-01   1.0000   0.2702   6.946E-15   2.81997246E-02   5.22563542E-04
    3360       642.539    14.1007   1.633E-01   1.0000   0.3381   7.605E-15   2.81997115E-02   5.20398151E-04
    3380       645.352    13.2141   1.543E-01   1.0000   0.3195   5.745E-15   2.81997050E-02   5.18192655E-04
    3400       648.166    13.2798   1.260E-01   1.0000   0.2610   5.357E-15   2.81997013E-02   5.15923324E-04
    3420       650.596    13.2683   1.174E-01   1.0000   0.2431   4.441E-15   2.81996980E-02   5.13922116E-04
    3440       653.193    13.2209   1.305E-01   1.0000   0.2702   5.551E-15   2.81996911E-02   5.11747940E-04
    3460        655.93    13.2213   1.461E-01   1.0000   0.3026   7.438E-15   2.81996766E-02   5.09425865E-04
    3480       659.126    13.4626   1.551E-01   1.0000   0.3212   6.592E-15   2.81996425E-02   5.06684963E-04
    3500       662.155    15.2318   1.759E-01   1.0000   0.3642   5.884E-15   2.81995986E-02   5.04073303E-04
    3520       665.472    13.9242   1.640E-01   1.0000   0.3396   6.051E-15   2.81995440E-02   5.01206817E-04
    3540       668.517    13.4837   1.449E-01   1.0000   0.3000   5.371E-15   2.81994731E-02   4.98583852E-04
    3560       671.188    13.9407   1.294E-01   1.0000   0.2679   4.996E-15   2.81994022E-02   4.96296740E-04
    3580       674.012    13.3791   1.494E-01   1.0000   0.3093   4.524E-15   2.81993385E-02   4.93896482E-04
    3600       677.094    13.7452   1.599E-01   1.0000   0.3311   3.941E-15   2.81992931E-02   4.91307483E-04
    3620       680.229    14.7762   1.615E-01   1.0000   0.3344   4.746E-15   2.81992655E-02   4.88715186E-04
    3640       683.527    14.1221   1.591E-01   1.0000   0.3294   4.718E-15   2.81992491E-02   4.86038447E-04
    3660       687.013    13.6307   1.740E-01   1.0000   0.3604   4.302E-15   2.81992328E-02   4.83272430E-04
    3680       690.773    13.9349   1.932E-01   0.9270   0.4000   5.732E-15   2.81992139E-02   4.80364879E-04
    3700       694.348    13.2966   1.834E-01   1.0000   0.3798   4.635E-15   2.81991943E-02   4.77679474E-04
    3720       697.621    13.7702   1.510E-01   1.0000   0.3126   3.775E-15   2.81991779E-02   4.75290445E-04
    3740       700.814    13.2077   1.721E-01   1.0000   0.3563   3.275E-15   2.81991631E-02   4.73023426E-04
    3760       704.534    13.4237   1.932E-01   0.9619   0.4000   3.955E-15   2.81991484E-02   4.70458181E-04
    3780       708.398    13.4818   1.932E-01   0.8756   0.4000   3.914E-15   2.81991382E-02   4.67882212E-04
    3800       712.256    13.1040   1.932E-01   0.8630   0.4000   3.733E-15   2.81991304E-02   4.65402778E-04
    3820        716.12    13.4914   1.932E-01   0.7370   0.4000   3.476E-15   2.81991226E-02   4.63014394E-04
    3840       719.984    13.2164   1.637E-02   0.0632   0.0339   3.386E-15   2.81991096E-02   4.60722320E-04
    3860       723.671    14.3732   1.932E-01   0.7552   0.4000   3.039E-15   2.81990893E-02   4.58624283E-04
    3880       727.534    13.0732   1.932E-01   0.7533   0.4000   3.331E-15   2.81990611E-02   4.56517171E-04
    3900       731.398    13.0390   1.932E-01   0.7770   0.4000   2.720E-15   2.81990246E-02   4.54502248E-04
    3920       735.262    12.9808   1.932E-01   0.7658   0.4000   3.025E-15   2.81989807E-02   4.52578209E-04
    3940       739.126    13.2085   1.932E-01   0.8115   0.4000   2.470E-15   2.81989291E-02   4.50743448E-04
    3960        742.99    13.5150   1.932E-01   0.7163   0.4000   3.220E-15   2.81988694E-02   4.48996295E-04
    3980       746.854    13.1922   1.932E-01   0.7291   0.4000   3.886E-15   2.81988019E-02   4.47334620E-04
    4000        750.58    12.9126   1.932E-01   0.6854   0.4000   3.220E-15   2.81987305E-02   4.45810970E-04
    4020       754.443    12.8977   1.932E-01   0.6520   0.4000   2.554E-15   2.81986469E-02   4.44309805E-04
    4040       758.307    13.3363   1.932E-01   0.6973   0.4000   2.401E-15   2.81985530E-02   4.42885931E-04
    4060       762.171    13.2078   1.932E-01   0.6801   0.4000   2.165E-15   2.81984547E-02   4.41535659E-04
    4080       766.035    13.9810   1.932E-01   0.6103   0.4000   2.304E-15   2.81983571E-02   4.40255605E-04
    4100       769.899    13.9383   1.932E-01   0.7019   0.4000   2.248E-15   2.81982616E-02   4.39042739E-04
    4120       773.763    13.1844   1.932E-01   0.6560   0.4000   1.943E-15   2.81981689E-02   4.37894571E-04
    4140       777.626    13.3576   1.932E-01   0.6327   0.4000   1.856E-15   2.81980789E-02   4.36808762E-04
    4160       781.352    14.2049   1.932E-01   0.7011   0.4000   2.172E-15   2.81979940E-02   4.35818274E-04
    4180       785.216    12.9390   1.932E-01   0.6159   0.4000   1.887E-15   2.81979062E-02   4.34846950E-04
    4200        789.08    13.0600   1.932E-01   0.5405   0.4000   2.012E-15   2.81978169E-02   4.33929649E-04
    4220       792.944    13.0757   1.932E-01   0.5661   0.4000   1.797E-15   2.81977266E-02   4.33063347E-04
    4240       796.808    13.0693   1.932E-01   0.5188   0.4000   1.703E-15   2.81976361E-02   4.32244977E-04
    4260       800.672    12.9960   1.932E-01   0.5243   0.4000   1.839E-15   2.81975460E-02   4.31471583E-04
    4280       804.535    13.3407   1.932E-01   0.5370   0.4000   1.816E-15   2.81974586E-02   4.30740333E-04
    4300       808.399    13.4011   1.932E-01   0.5534   0.4000   1.663E-15   2.81973776E-02   4.30048597E-04
    4320       812.125    13.9565   1.932E-01   0.5133   0.4000   1.902E-15   2.81973088E-02   4.29416893E-04
    4340       815.989    14.2092   1.932E-01   0.4910   0.4000   1.700E-15   2.81972491E-02   4.28796423E-04
    4360       819.853    13.0776   1.932E-01   0.5044   0.4000   1.874E-15   2.81972014E-02   4.28209214E-04
    4380       823.717    13.7733   1.932E-01   0.5395   0.4000   1.685E-15   2.81971647E-02   4.27653376E-04
    4400        827.58    13.0587   1.932E-01   0.5590   0.4000   1.688E-15   2.81971377E-02   4.27127244E-04
    4420       831.444    12.9856   1.932E-01   0.5128   0.4000   1.504E-15   2.81971188E-02   4.26629321E-04
    4440       835.308    13.0634   1.932E-01   0.5200   0.4000   1.828E-15   2.81971068E-02   4.26158155E-04
    4460       839.172    12.9772   1.932E-01   0.4875   0.4000   1.579E-15   2.81971010E-02   4.25712310E-04
    4480       842.898    14.1912   1.932E-01   0.4865   0.4000   1.669E-15   2.81971017E-02   4.25305099E-04
